pdb_id	pfam_id
1HF0	PF00157
1HF0	PF00046
1HII	PF00077
1HL7	PF00561
1HLT	PF00089
1HRT	PF09396
1HRT	PF00713
1HRT	PF00089
1HSH	PF00077
1HSI	PF00077
1HT6	PF07821
1HT6	PF00128
1HUT	PF00089
1HX1	PF02179
1HY5	PF03545
1I35	
1I42	PF00789
1I49	
1I4D	PF00071
1I4L	PF00071
1I4T	PF00071
1I5X	
1I6Z	PF02179
1I7W	PF00514
1I7W	PF01049
1I7X	PF00514
1I7X	PF01049
1I84	PF00063
1I84	PF02736
1IAL	PF00514
1IC2	
1ID5	PF00089
1ID5	PF03974
1ID5	PF09396
1IDA	PF00077
1IDB	PF00077
1IHS	PF00089
1IHT	PF00089
1IL6	
1IQ1	PF16186
1IQ1	PF00514
1ISR	PF01094
1ISS	PF01094
1J0S	PF00340
1J1D	PF13833
1J1D	PF13499
1J1D	PF00992
1J1E	PF13499
1J1E	PF00992
1J1E	PF13833
1JC2	PF00036
1JDH	PF00514
1JFI	PF00352
1JFI	PF00808
1JIC	PF02294
1JJR	PF02037
1JLD	PF00077
1JOE	PF02664
1JPP	PF00514
1JPW	PF00514
1JRU	PF00789
1JWN	PF00042
1JWT	PF00089
1JZK	PF00042
1JZL	PF00042
1JZM	PF00042
1K04	PF03623
1K05	PF03623
1K2C	PF00077
1K40	
1K78	PF00292
1K78	PF00178
1KAN	PF07827
1KK7	PF13405
1KK7	PF02736
1KK7	PF13499
1KK7	PF00063
1KMI	PF04344
1KMI	PF00072
1KNY	PF07827
1KQM	PF02736
1KQM	PF00063
1KQM	PF13405
1KQM	PF13499
1KTM	
1KTS	PF00089
1KWO	PF13499
1KWO	PF02736
1KWO	PF00063
1KWO	PF13405
1KYO	PF00033
1KYO	PF02271
1KYO	PF05193
1KYO	PF00355
1KYO	PF05365
1KYO	PF00032
1KYO	PF02320
1KYO	PF00034
1KYO	PF02939
1KYO	PF02167
1KYO	PF00675
1L2O	PF13405
1L2O	PF13499
1L2O	PF02736
1L2O	PF00063
1L2P	
1L4A	
1LE2	
1LE4	
1LPE	
1LRE	
1LUJ	PF00514
1LV2	PF00104
1LVF	PF09177
1LWU	PF00147
1M1E	PF00514
1M1E	PF06384
1M45	
1M46	
1M53	PF16657
1M53	PF00128
1M5I	PF11414
1M5N	PF03810
1M5N	PF00514
1M7K	PF02179
1MDM	PF00178
1MDM	PF00292
1MIF	PF01187
1MKW	PF00089
1MKW	PF09396
1MKX	PF00089
1MKX	PF09396
1MMO	PF02332
1MP1	PF01480
1MSM	PF00077
1MTY	PF02332
1MU6	PF00089
1MU8	PF00089
1MUE	PF00089
1N2D	
1N73	PF00147
1NFN	
1NFO	
1NKN	
1NRN	PF00089
1NRO	PF00089
1NRP	PF00089
1NRQ	PF00089
1NRR	PF00089
1NRS	PF00089
1NTF	
1NV8	PF17827
1NV8	PF05175
1NV9	PF17827
1NV9	PF05175
1NWI	PF00042
1NWN	PF00042
1NXF	PF00042
1NYH	
1NZQ	PF00089
1O1N	PF00042
1O5E	PF00089
1O5E	PF09272
1O5F	PF09272
1O5F	PF00089
1O5H	PF04961
1O6O	PF00514
1O6O	PF03810
1O6P	PF00514
1O6P	PF03810
1O77	PF01582
1OE9	PF00612
1OE9	PF00063
1OHU	PF02180
1OHU	PF00452
1OQY	PF00627
1OQY	PF09280
1OQY	PF00240
1OR2	
1OR3	
1OW6	PF03623
1OW7	PF03623
1OW8	PF03623
1OWA	PF00435
1OYT	PF00089
1P1A	PF00240
1P57	PF00089
1P57	PF09272
1P5T	
1P6W	PF07821
1P6W	PF00128
1P8V	PF13855
1P8V	PF00089
1P8V	PF01462
1P98	
1P9D	PF02809
1P9M	PF09240
1P9M	PF00041
1P9M	PF06328
1PDN	PF00292
1PJM	PF00514
1PJM	PF16186
1PJN	PF00514
1PJN	PF16186
1PV3	
1PZL	PF00104
1Q05	PF00376
1Q05	PF09278
1Q06	PF00376
1Q06	PF09278
1Q07	PF09278
1Q07	PF00376
1Q0D	
1Q0F	
1Q0G	
1Q0K	
1Q0M	
1Q1S	PF00514
1Q1S	PF16186
1Q1T	PF00514
1Q1T	PF16186
1Q9P	
1QJ1	PF00089
1QKR	
1QR8	
1QR9	
1QRJ	PF19317
1QU7	PF00015
1QVI	PF13405
1QVI	PF13499
1QVI	PF02736
1QVI	PF00063
1QVX	
1QZ7	PF00514
1QZ7	PF08833
1QZE	PF00627
1QZE	PF09280
1QZE	PF00240
1R4T	PF03545
1RIW	
1RKE	
1RP8	PF00128
1RP8	PF07821
1RP9	PF00128
1RP9	PF07821
1RPK	PF00128
1RPK	PF07821
1RTY	PF01923
1S0P	
1S35	PF00435
1S3S	PF02933
1S3S	PF02359
1S3S	PF17862
1S3S	PF00789
1S3S	PF00004
1S5G	PF02736
1S5G	PF13405
1S5G	PF13499
1S5G	PF00063
1SA0	PF03953
1SA0	PF00091
1SA0	PF00836
1SA1	PF00091
1SA1	PF00836
1SA1	PF03953
1SAP	PF02294
1SDT	PF00077
1SDU	PF00077
1SDV	PF00077
1SFQ	PF00089
1SG8	PF00089
1SGI	PF00089
1SHH	PF00089
1SI6	
1SIP	PF00077
1SJ7	PF09141
1SR6	PF00063
1SR6	PF13499
1SR6	PF13405
1SR6	PF02736
1SSO	PF02294
1SYQ	
1T01	
1T08	PF00514
1T7S	PF02179
1TA2	PF00089
1TA6	PF00089
1TB6	PF09396
1TB6	PF00079
1TB6	PF00089
1TBZ	PF00089
1TCF	PF13499
1TH1	PF00514
1TH1	PF05923
1THP	PF00089
1TJC	
1TJF	
1TKN	
1TMB	PF00089
1TN4	PF13499
1TOC	PF00089
1TOC	PF09396
1TQ7	PF00089
1TXU	PF18151
1TXU	PF02204
1U61	PF00636
1U6H	
1U78	PF11427
1UCY	PF09396
1UCY	PF00089
1UEF	
1UEL	PF02809
1UEL	PF00240
1UIZ	PF01187
1UKL	PF03810
1UKL	PF13513
1UOK	PF00128
1UOK	PF16657
1URF	PF02185
1UVS	PF00089
1UVT	PF00089
1UVT	PF09396
1UVU	PF00089
1UVU	PF09396
1UX4	
1V18	PF00514
1V18	PF05923
1VD2	PF00564
1VJZ	PF00150
1VYB	PF03372
1W09	PF09236
1W0A	PF09236
1W0B	PF09236
1W5V	PF00077
1W5W	PF00077
1W5X	PF00077
1W5Y	PF00077
1W63	PF00928
1W63	PF01217
1W63	PF01602
1W7I	PF00612
1W7I	PF00063
1W7J	PF00063
1W7J	PF00612
1WBG	PF00089
1WD0	PF02294
1WD1	PF02294
1WDC	PF13405
1WDC	PF13499
1WDG	
1WDU	PF14529
1WH5	
1WH7	
1WIX	
1WJP	PF18450
1WMH	PF00564
1WNC	
1WRD	PF00240
1WRD	PF03127
1WTO	PF02294
1WTP	PF02294
1WTQ	PF02294
1WTR	PF02294
1WTV	PF02294
1WTW	PF02294
1WTX	PF02294
1WU3	PF00143
1WVL	PF02294
1WXA	PF00788
1WYY	
1X04	PF03114
1X5W	
1X8Z	PF04043
1X90	PF04043
1X91	PF04043
1XAW	PF07303
1XFS	PF08327
1XG2	PF01095
1XG2	PF04043
1XL3	PF09059
1XLY	PF11435
1XM9	PF00514
1XNF	
1XWJ	
1XX8	PF02294
1XYI	PF02294
1XZY	
1Y01	PF00042
1Y01	PF09236
1Y1X	PF13499
1Y21	
1Y2A	PF00514
1Y6D	PF01627
1Y7Q	PF02023
1YA9	
1YDI	
1YGM	PF11458
1YJG	
1YJH	
1YKE	PF11221
1YKH	PF11221
1YPG	PF00089
1YPJ	PF00089
1YPK	PF00089
1YPL	PF00089
1YPM	PF00089
1YTZ	PF00992
1YTZ	PF13833
1YTZ	PF00036
1YUI	PF09237
1YUJ	PF09237
1YV0	PF00036
1YV0	PF13833
1Z23	PF08824
1Z2B	PF00091
1Z2B	PF03953
1Z2B	PF00836
1Z71	PF00089
1Z8U	PF09236
1Z8U	PF00042
1ZJA	PF11941
1ZJA	PF00128
1ZJB	PF00128
1ZJB	PF11941
1ZRZ	PF00433
1ZRZ	PF00069
1ZVZ	
1ZW2	
1ZW3	
1ZXA	PF16808
2A0Q	PF00089
2A1D	PF00089
2A1D	PF08764
2A1E	PF00077
2AFQ	PF00089
2AGL	PF02975
2AGL	PF06433
2AGW	PF02975
2AGW	PF06433
2AGX	PF02975
2AGX	PF06433
2AGY	PF06433
2AGY	PF02975
2AGZ	PF02975
2AGZ	PF06433
2AH0	PF06433
2AH0	PF02975
2AH1	PF06433
2AH1	PF02975
2AOD	PF00077
2AOE	PF00077
2AOF	PF00077
2AOG	PF00077
2AOH	PF00077
2AP3	PF10368
2ASR	
2AUO	PF00042
2AUP	PF00042
2AUQ	PF00042
2AUR	PF00042
2AV0	PF00042
2AV3	PF00042
2AVQ	PF00077
2AVS	PF00077
2AVV	PF00077
2BCT	PF00514
2BEZ	
2BL0	PF13499
2BL0	PF00036
2BVR	PF00089
2BVS	PF00089
2BW3	PF10683
2BW3	PF05699
2BXT	PF00089
2BXU	PF00089
2BYK	PF00808
2BYM	PF00808
2C1M	PF00514
2C93	PF00089
2CAZ	PF09454
2CF8	PF00089
2CF9	PF00089
2COT	PF00096
2CRB	PF17169
2CS4	PF00788
2CT1	PF00096
2CVR	PF02294
2D3E	
2D4C	PF03114
2D4U	
2D9D	PF02179
2DA4	
2DMI	PF13912
2DYL	PF00069
2DZJ	
2E7S	
2EE8	PF00096
2EHG	PF13456
2ELH	PF04218
2EQU	PF18104
2ETS	PF08807
2EX3	PF03175
2F1N	PF03372
2F80	PF00077
2F81	PF00077
2F8G	PF00077
2FBN	PF13181
2FI2	
2FU4	
2FUP	PF05130
2FXD	PF00077
2FYL	PF00057
2FZT	
2G38	PF00934
2G38	PF00823
2G42	
2G5X	
2GA0	PF01441
2GD7	
2GDC	
2GDE	PF00089
2GF7	PF18104
2GFA	PF18104
2GHS	PF08450
2GL2	PF09403
2GL7	PF00514
2GL7	PF11502
2GMY	PF02627
2GP9	PF00089
2GRF	PF00042
2GRH	PF00042
2GRZ	PF00042
2GWW	PF17985
2H5N	PF05099
2H7O	PF09632
2H7V	PF09632
2H7V	PF00071
2H8R	
2HAH	PF00077
2HB5	PF00075
2HE7	PF00373
2HE7	PF09379
2HFI	PF08807
2HGT	PF00089
2HJ4	PF02975
2HJ4	PF06433
2HJB	PF02975
2HJB	PF06433
2HKM	PF02975
2HKM	PF06433
2HKR	PF02975
2HKR	PF06433
2HNT	
2HS1	PF00077
2HS2	PF00077
2HSQ	
2HUJ	PF08807
2HXC	PF06433
2HXC	PF02975
2I0E	PF00069
2I0E	PF00433
2I0R	PF02975
2I0R	PF06433
2I0S	PF06433
2I0S	PF02975
2I0T	PF02975
2I0T	PF06433
2I32	PF04729
2IAE	PF02985
2IAE	PF00149
2IAE	PF13646
2IBF	PF17985
2IBZ	PF00032
2IBZ	PF00675
2IBZ	PF02320
2IBZ	PF02939
2IBZ	PF07686
2IBZ	PF05193
2IBZ	PF00355
2IBZ	PF05365
2IBZ	PF00033
2IBZ	PF02271
2IBZ	PF02167
2IDW	PF00077
2IE3	PF02985
2IE3	PF00149
2IE4	PF02985
2IE4	PF00149
2IEN	PF00077
2IL6	
2IM8	PF08807
2IMQ	
2IMS	PF00452
2IMT	PF00452
2ISI	PF03372
2IUP	PF06433
2IUP	PF02975
2IUQ	PF02975
2IUQ	PF06433
2IUR	PF02975
2IUR	PF06433
2IUV	PF06433
2IUV	PF02975
2IY0	PF11976
2IY0	PF02902
2J7Q	PF00240
2J9U	
2J9V	
2J9W	
2JBX	
2JBY	
2JC4	PF03372
2JCN	PF00452
2JDQ	PF00514
2JH0	PF00089
2JH5	PF00089
2JKR	PF01217
2JKR	PF01602
2JKR	PF00928
2JKT	PF01602
2JKT	PF01217
2JKT	PF00928
2JO7	PF11641
2JPS	PF11517
2JQQ	
2JUF	PF11515
2JWA	
2K27	PF00292
2K5V	PF01336
2K88	
2KBN	
2KC3	
2KEN	
2KN6	PF00619
2KN6	PF02758
2KOB	
2KS1	
2KVP	PF08913
2L0K	PF12116
2L1P	
2L6F	
2L6G	
2L6H	
2L7B	PF01442
2L7N	
2L8T	
2LCE	PF00096
2LCH	
2LD3	
2LD6	PF01627
2LDM	
2LEM	
2LJP	PF00825
2LK4	
2LLH	PF16276
2LQU	PF02352
2LV2	PF00096
2LWJ	PF02559
2M1N	
2M1X	
2M9X	
2MA7	PF00096
2MB9	PF00619
2MIP	PF00077
2MQA	
2MS7	PF16739
2MSC	PF00071
2MSC	PF01442
2MSD	PF00071
2MSD	PF01442
2MSE	PF01442
2MSE	PF00071
2MSE	PF02196
2MTC	PF02352
2N2H	
2N2N	PF03127
2N5E	
2N9D	PF03127
2NDH	PF13676
2NMY	PF00077
2NMZ	PF00077
2NPP	PF02985
2NPP	PF01603
2NPP	PF00149
2NRJ	PF05791
2NYL	PF02985
2NYL	PF00149
2NYM	PF02985
2NYM	PF00149
2O35	PF06844
2O3C	PF03372
2O3H	PF03372
2OCY	PF00071
2OD3	PF00089
2ODY	PF00014
2ODY	PF00089
2ODY	PF09396
2OEX	PF13949
2OIZ	PF06433
2OIZ	PF02975
2OJQ	PF13949
2OJY	PF02975
2OJY	PF06433
2OK4	PF02975
2OK4	PF06433
2OK6	PF02975
2OK6	PF06433
2ONT	
2OPT	PF02909
2OPT	PF00440
2OS5	PF01187
2OSZ	
2OT3	PF18151
2OT3	PF00071
2OT3	PF02204
2OT5	
2OXO	PF02899
2P22	PF09454
2P22	PF07200
2P5T	PF01381
2P5T	PF06414
2PEB	
2PF4	PF02380
2PF4	PF13646
2PF4	PF02985
2PK5	PF00077
2PK6	PF00077
2PKG	PF02985
2PKS	
2PMS	PF00405
2PMZ	PF00562
2PMZ	PF03874
2PMZ	PF00623
2PMZ	PF01193
2PMZ	PF00575
2PMZ	PF04566
2PMZ	PF01191
2PMZ	PF01000
2PMZ	PF04997
2PMZ	PF04560
2PMZ	PF05000
2PMZ	PF03876
2PMZ	PF04998
2PMZ	PF13656
2PMZ	PF04567
2PMZ	PF01192
2PMZ	PF01194
2PMZ	PF04983
2PV9	PF00089
2PW8	PF00089
2PWD	PF00128
2PWD	PF11941
2PWE	PF00128
2PWE	PF11941
2PWF	PF00128
2PWF	PF11941
2PWG	PF11941
2PWG	PF00128
2PWH	PF00128
2PWH	PF11941
2Q0O	PF09228
2Q0O	PF03472
2Q0O	PF00196
2Q7Q	PF06433
2Q7Q	PF02975
2Q97	PF00022
2QAC	
2QD6	PF00077
2QD7	PF00077
2QIH	PF06435
2QKL	PF06058
2QKL	PF05026
2QNA	PF11538
2QNA	PF00514
2QPS	PF00128
2QPS	PF07821
2QPU	PF00128
2QPU	PF07821
2QQR	PF18104
2QQS	PF18104
2QSB	PF03685
2QSV	
2QT7	PF11548
2QUP	PF03885
2QYW	
2QZG	PF03685
2R2M	PF00089
2R38	PF00077
2R4W	PF00042
2R4Z	PF00042
2R5Y	PF00046
2R5Z	PF00046
2RMK	PF02185
2RMK	PF00071
2RSI	PF13909
2RSJ	PF13909
2RSJ	PF00096
2RUJ	PF16978
2RV6	PF00096
2RV6	PF13909
2RV7	PF13909
2RVK	PF16978
2TN4	PF13499
2UUF	PF00089
2UUJ	PF00089
2UUK	PF00089
2V0O	PF00611
2V0R	PF03372
2V1Y	PF02192
2V1Y	PF16454
2V4H	
2V5F	
2V66	
2V75	PF11517
2V76	
2V8S	PF01417
2VGL	PF00928
2VGL	PF01602
2VGL	PF01217
2VOA	PF03372
2VTY	
2VVW	
2VVX	
2VXT	PF00340
2W4A	PF13833
2W4A	PF00063
2W4A	PF02736
2W4G	PF02736
2W4G	PF13833
2W4G	PF00063
2W4H	PF00063
2W4H	PF02736
2W4H	PF13833
2WJ3	PF00561
2WL8	
2WPR	
2WPS	
2WSS	PF00306
2WSS	PF04627
2WSS	PF00231
2WSS	PF00213
2WSS	PF00006
2WSS	PF02874
2WSS	PF02823
2WYQ	PF00240
2WZ7	
2XA7	PF00928
2XA7	PF01217
2XA7	PF01602
2XB7	PF07714
2XBA	PF07714
2XDJ	
2XDP	PF18104
2XG7	
2XIW	PF02294
2XNX	PF00147
2XNY	PF00147
2XP2	PF07714
2XU6	
2XZR	
2Y3A	PF00017
2Y3A	PF02192
2Y3A	PF00613
2Y3A	PF00794
2Y3A	PF00792
2Y3A	PF00454
2Y44	
2Y4T	PF00515
2Y4T	PF13181
2Y4T	PF00226
2Y4T	PF13432
2Y4U	PF00515
2Y4U	PF13432
2Y4U	PF13181
2Y4U	PF00226
2Y4Z	
2Y92	PF13676
2Y9J	
2YFX	PF07714
2YHV	PF07714
2YJR	PF07714
2YJS	PF07714
2YKO	PF17490
2YKO	PF17489
2YKO	PF02994
2YKP	PF17490
2YKP	PF02994
2YKP	PF17489
2YKQ	PF17489
2YKQ	PF17490
2YKQ	PF02994
2YKT	PF08397
2YM9	PF06511
2YNR	PF00514
2YNS	PF00514
2YNS	PF16186
2Z4O	PF00077
2Z85	PF00042
2Z8A	PF00042
2ZDA	PF00089
2ZE0	PF00128
2ZE0	PF16657
2ZFF	PF00089
2ZG0	PF00089
2ZGB	PF00089
2ZHE	PF00089
2ZHF	PF00089
2ZI2	PF00089
2ZIC	PF00128
2ZID	PF00128
2ZNK	PF00089
2ZO3	PF00089
3A2O	PF00077
3A47	PF00128
3A4A	PF00128
3A8W	PF00433
3A8W	PF00069
3A8X	PF00069
3A8X	PF00433
3AAD	PF04729
3AAD	PF00439
3AJ7	PF00128
3AJW	PF02050
3ALY	PF13456
3AOX	PF07714
3AXH	PF00128
3AXI	PF00128
3AY5	PF13324
3B23	PF00089
3B6A	PF02909
3B6A	PF00440
3B6C	PF02909
3B6C	PF00440
3B71	PF03623
3B9F	PF00089
3B9F	PF00079
3B9F	PF09396
3BAS	
3BAT	
3BIN	PF00373
3BIN	PF09379
3BIU	PF00089
3BIV	PF00089
3BSG	PF00128
3BSG	PF07821
3BSH	PF07821
3BSH	PF00128
3BTR	PF00514
3BV9	PF00089
3BVA	PF00077
3BVB	PF00077
3BZ6	PF04337
3C07	PF00440
3C07	PF17931
3C1K	PF00089
3C27	PF00089
3C4R	PF06254
3C5W	PF00149
3C5W	PF12697
3CL3	PF01335
3COK	PF00069
3CSX	PF05082
3CX5	PF05193
3CX5	PF05365
3CX5	PF00033
3CX5	PF02271
3CX5	PF00675
3CX5	PF00355
3CX5	PF02167
3CX5	PF00034
3CX5	PF02939
3CX5	PF00032
3CX5	PF02320
3CXH	PF00675
3CXH	PF00355
3CXH	PF02271
3CXH	PF00033
3CXH	PF00034
3CXH	PF02167
3CXH	PF05193
3CXH	PF02320
3CXH	PF00032
3CXH	PF05365
3CXH	PF02939
3CYO	
3CYW	PF00077
3CYX	PF00077
3D0W	PF11588
3D19	
3D1Y	PF00077
3D20	PF00077
3D3M	
3DCX	
3DHK	PF00089
3DJK	PF00077
3DK1	PF00077
3DK3	PF07714
3DK6	PF07714
3DLM	PF18359
3DLM	PF18358
3DM3	PF01336
3DTP	PF00063
3DTP	PF13833
3DTP	PF02736
3DTP	PF13405
3DU7	PF03953
3DU7	PF00091
3DW8	PF02985
3DW8	PF00149
3E0E	PF01336
3E22	PF03953
3E22	PF00091
3E7K	
3EBZ	PF00077
3EC0	PF00077
3ECG	PF00077
3EDU	PF00435
3EDV	PF00435
3EDX	PF00089
3EE0	PF00089
3EL9	PF00077
3EQ0	PF00089
3ERM	PF07130
3ETX	PF09403
3ETY	PF09403
3F57	PF00435
3F5C	PF00104
3F62	PF00340
3F7P	PF00307
3F7P	PF00041
3F7Q	PF00041
3F7R	PF00041
3F9K	PF02022
3F9K	PF00665
3FBZ	
3FGA	PF13646
3FGA	PF00149
3FGA	PF02985
3FOB	PF00561
3FX5	PF00077
3FX7	
3FYQ	
3FZF	PF02179
3FZH	PF02179
3FZI	PF03372
3FZK	PF02179
3FZL	PF02179
3FZM	PF02179
3G00	PF03372
3G0A	PF03372
3G0R	PF03372
3G1K	PF03372
3G2C	PF03372
3G2D	PF03372
3G38	PF03372
3G3C	PF03372
3G3Y	PF03372
3G46	PF00042
3G4Q	PF00042
3G4R	PF00042
3G4T	PF03372
3G4U	PF00042
3G4V	PF00042
3G4W	PF00042
3G4Y	PF00042
3G52	PF00042
3G53	PF00042
3G5B	PF17217
3G5B	PF00791
3G5B	PF00531
3G67	
3G6B	
3G6S	PF03372
3G8V	PF03372
3G91	PF03372
3GA6	PF03372
3GBD	PF16657
3GBD	PF00128
3GBE	PF00128
3GBE	PF16657
3GGU	PF00077
3GIC	PF00089
3GM1	PF03623
3GM2	PF03623
3GM3	PF03623
3GN4	PF13499
3GOE	PF11976
3GVM	PF06013
3GWK	PF06013
3GWN	PF04777
3H16	PF13676
3H2U	PF00076
3H2V	PF00076
3H3M	PF05400
3H5B	PF00077
3HAJ	PF00611
3HAJ	PF00018
3HAW	PF00077
3HBO	PF00077
3HK0	PF00788
3HK0	PF00169
3HKB	PF00091
3HKB	PF03953
3HKC	PF00091
3HKC	PF03953
3HKD	PF03953
3HKD	PF00091
3HKE	PF03953
3HKE	PF00091
3HKZ	PF00575
3HKZ	PF04998
3HKZ	PF01192
3HKZ	PF04567
3HKZ	PF04997
3HKZ	PF16992
3HKZ	PF01194
3HKZ	PF01000
3HKZ	PF04983
3HKZ	PF04560
3HKZ	PF01191
3HKZ	PF12136
3HKZ	PF03876
3HKZ	PF00623
3HKZ	PF01193
3HKZ	PF13656
3HKZ	PF03874
3HKZ	PF00562
3HKZ	PF05000
3HKZ	PF04566
3HOF	PF01187
3HST	PF01547
3HST	PF13456
3I45	PF13458
3I6O	PF00077
3I9W	
3IA3	PF09236
3IA3	PF00042
3IEG	PF13181
3IEG	PF00515
3IEG	PF13432
3IFQ	PF00514
3IVP	PF01381
3IVP	PF18430
3IW4	PF00433
3IW4	PF00069
3J04	PF00063
3J04	PF13405
3J04	PF02736
3J26	
3J47	PF18098
3J6J	PF16739
3J6X	PF00238
3J6X	PF00189
3J6X	PF01599
3J6X	PF16121
3J6X	PF01775
3J6X	PF01015
3J6X	PF00253
3J6X	PF01246
3J6X	PF03297
3J6X	PF07650
3J6X	PF17135
3J6X	PF00177
3J6X	PF01776
3J6X	PF00333
3J6X	PF00240
3J6X	PF00467
3J6X	PF00318
3J6X	PF01667
3J6X	PF01294
3J6X	PF03501
3J6X	PF01781
3J6X	PF00276
3J6X	PF00297
3J6X	PF01092
3J6X	PF01090
3J6X	PF01198
3J6X	PF00831
3J6X	PF01157
3J6X	PF00347
3J6X	PF01199
3J6X	PF00410
3J6X	PF00281
3J6X	PF01020
3J6X	PF00400
3J6X	PF00411
3J6X	PF16906
3J6X	PF08071
3J6X	PF01282
3J6X	PF03719
3J6X	PF04758
3J6X	PF01780
3J6X	PF01283
3J6X	PF01479
3J6X	PF00237
3J6X	PF01200
3J6X	PF00900
3J6X	PF01280
3J6X	PF01907
3J6X	PF00573
3J6X	PF01777
3J6X	PF00203
3J6X	PF05162
3J6X	PF08079
3J6X	PF00833
3J6X	PF01779
3J6X	PF00181
3J6X	PF14204
3J6X	PF01158
3J6X	PF00164
3J6X	PF00827
3J6X	PF16205
3J6X	PF01247
3J6X	PF01249
3J6X	PF01201
3J6X	PF00673
3J6X	PF00312
3J6X	PF01159
3J6X	PF00832
3J6X	PF14374
3J6X	PF00366
3J6X	PF01929
3J6X	PF00380
3J6X	PF00828
3J6X	PF00935
3J6X	PF17144
3J6X	PF08069
3J6X	PF03939
3J6X	PF03947
3J6X	PF01655
3J6X	PF00338
3J6X	PF00252
3J6X	PF01251
3J6X	PF00327
3J6X	PF00572
3J6X	PF00687
3J6X	PF01248
3J6X	PF00416
3J6Y	PF01020
3J6Y	PF00312
3J6Y	PF00276
3J6Y	PF00832
3J6Y	PF01159
3J6Y	PF01199
3J6Y	PF00573
3J6Y	PF03501
3J6Y	PF00281
3J6Y	PF00203
3J6Y	PF01015
3J6Y	PF14204
3J6Y	PF00687
3J6Y	PF00400
3J6Y	PF00572
3J6Y	PF00297
3J6Y	PF00347
3J6Y	PF01092
3J6Y	PF01248
3J6Y	PF01090
3J6Y	PF01246
3J6Y	PF00189
3J6Y	PF01599
3J6Y	PF00467
3J6Y	PF01776
3J6Y	PF00333
3J6Y	PF00253
3J6Y	PF01780
3J6Y	PF03297
3J6Y	PF00900
3J6Y	PF17135
3J6Y	PF03719
3J6Y	PF01200
3J6Y	PF08071
3J6Y	PF01157
3J6Y	PF01282
3J6Y	PF00935
3J6Y	PF07650
3J6Y	PF00240
3J6Y	PF00177
3J6Y	PF00238
3J6Y	PF00164
3J6Y	PF04758
3J6Y	PF01283
3J6Y	PF01280
3J6Y	PF01479
3J6Y	PF00237
3J6Y	PF00318
3J6Y	PF01667
3J6Y	PF16121
3J6Y	PF01775
3J6Y	PF01247
3J6Y	PF08069
3J6Y	PF03939
3J6Y	PF01781
3J6Y	PF01198
3J6Y	PF00338
3J6Y	PF01251
3J6Y	PF00831
3J6Y	PF14374
3J6Y	PF16205
3J6Y	PF01294
3J6Y	PF00380
3J6Y	PF01777
